PROVEEDOR;Origen;DESTINO;COSTOS;Comentario;Columna1;Columna2;Suma de Valor;Etiquetas de columna;Columna3;Columna4;Columna5;Columna6;Columna7
77970090-9/TRANSPORTES DONA ISIDORA (LABBE);;ARICA;3818321;O;;;;;;;;;
77970090-9/TRANSPORTES DONA ISIDORA (LABBE);;IQUIQUE;3471656;O;;;;;;;;;
77970090-9/TRANSPORTES DONA ISIDORA (LABBE);;COPIAPO;1869370;O;;;;;;;;;
77970090-9/TRANSPORTES DONA ISIDORA (LABBE);;LA SERENA;1171792;O;;;;;;;;;
77970090-9/TRANSPORTES DONA ISIDORA (LABBE);;VINA DEL MAR;408166;O;;;;;;;;;
77970090-9/TRANSPORTES DONA ISIDORA (LABBE);;LOS ANDES;242168;O;;;;;;;;;
77970090-9/TRANSPORTES DONA ISIDORA (LABBE);;MELIPILLA;243472;O;;;;;;;;;
77970090-9/TRANSPORTES DONA ISIDORA (LABBE);;TALAGANTE;244670;O;;;;;;;;;
77970090-9/TRANSPORTES DONA ISIDORA (LABBE);;RANCAGUA;330080;O;;;;;;;;;
77970090-9/TRANSPORTES DONA ISIDORA (LABBE);;SAN FERNANDO;394120;O;;;;;;;;;
77970090-9/TRANSPORTES DONA ISIDORA (LABBE);;TALCA;881719;O;;;;;;;;;
77970090-9/TRANSPORTES DONA ISIDORA (LABBE);;CHILLAN;920839;O;;;;;;;;;
77970090-9/TRANSPORTES DONA ISIDORA (LABBE);;CONCEPCION;1144930;O;;;;;;;;;
77970090-9/TRANSPORTES DONA ISIDORA (LABBE);;LOS ANGELES;1139526;O;;;;;;;;;
77970090-9/TRANSPORTES DONA ISIDORA (LABBE);;TEMUCO;1393523;O;;;;;;;;;
77970090-9/TRANSPORTES DONA ISIDORA (LABBE);;OSORNO;1854644;O;;;;;;;;;
77970090-9/TRANSPORTES DONA ISIDORA (LABBE);;PUERTO MONTT;2081631;O;;;;;;;;;
77970090-9/TRANSPORTES DONA ISIDORA (LABBE);;Sobre estadia / valor por hora luego de 4 horas libres;9500;;;;;;;;;;
77970090-9/TRANSPORTES DONA ISIDORA (LABBE);;Flete Falso - 50% del valor de la tarifa original del destino;110000;;;;;;;;;;
77970090-9/TRANSPORTES DONA ISIDORA (LABBE);;Toque Anden;50000;;;;;;;;;;
77970090-9/TRANSPORTES DONA ISIDORA (LABBE);;Toque Anden Concepcion - Valdivia;200000;;;;;;;;;;
77970090-9/TRANSPORTES DONA ISIDORA (LABBE);;Toque Anden Calama;250000;;;;;;;;;;
77970090-9/TRANSPORTES DONA ISIDORA (LABBE);;CALAMA;2500000;;;;;;;;;;
77970090-9/TRANSPORTES DONA ISIDORA (LABBE);;ANTOFAGASTA;2665617;O;;;;;;;;;
77970090-9/TRANSPORTES DONA ISIDORA (LABBE);;CH-CEDIS IDE QUILICURA;329400;O;;;;;;;;;
77970090-9/TRANSPORTES DONA ISIDORA (LABBE);;CH-TEMUCO;520000;;;;;;;;;;
77970090-9/TRANSPORTES DONA ISIDORA (LABBE);;CH-CONCEPCION;390400;O;;;;;;;;;
77970090-9/TRANSPORTES DONA ISIDORA (LABBE);;CH-TALCA;475800;O;;;;;;;;;
77970090-9/TRANSPORTES DONA ISIDORA (LABBE);;CH-TALCA-TEMUCO;590000;;;;;;;;;;
16575553-7/GABRIEL ALEJANDRO ESTAY CARRAZANA;;NUTRA-CEDIS IDE QUILICURA;218.140;O;;;;;;;;;
76252773-1/GARATE Y GARATE LIMITADA;;NUTRA-CEDIS IDE QUILICURA;181.941;O;;;;;;;;;
76746317-0/TRAILER LOGISTICS SPA;;NUTRA-CEDIS IDE QUILICURA;250.000;;;;;;;;;;
76252773-1/GARATE Y GARATE LIMITADA;;PLANTA CHILLAN;652.030;;;;;;;;;;
16575553-7/GABRIEL ALEJANDRO ESTAY CARRAZANA;;PLANTA CHILLAN;808.488;;;;;;;;;;
77970090-9/TRANSPORTES DONA ISIDORA (LABBE);;LO ESPEJO;216450;O;;;;;;;;;
16575553-7/GABRIEL ALEJANDRO ESTAY CARRAZANA;;CH-CEDIS IDE QUILICURA;808488;;;;;;;;;;
77636200-K/TRANSPORTES SAN GABRIEL LTDA.;;ARICA;3377738;;;;;;;;;;
77636200-K/TRANSPORTES SAN GABRIEL LTDA.;;IQUIQUE;2971452;;;;;;;;;;
77636200-K/TRANSPORTES SAN GABRIEL LTDA.;;ANTOFAGASTA;2289603;;;;;;;;;;
77636200-K/TRANSPORTES SAN GABRIEL LTDA.;;COPIAPO;1516084;;;;;;;;;;
77636200-K/TRANSPORTES SAN GABRIEL LTDA.;;LA SERENA;844268;;;;;;;;;;
77636200-K/TRANSPORTES SAN GABRIEL LTDA.;;VINA DEL MAR;377079;;;;;;;;;;
77636200-K/TRANSPORTES SAN GABRIEL LTDA.;;LOS ANDES;377439;;;;;;;;;;
77636200-K/TRANSPORTES SAN GABRIEL LTDA.;;MELIPILLA;378879;;;;;;;;;;
77636200-K/TRANSPORTES SAN GABRIEL LTDA.;;TALAGANTE;188407;;;;;;;;;;
77636200-K/TRANSPORTES SAN GABRIEL LTDA.;;RANCAGUA;339625;;;;;;;;;;
77636200-K/TRANSPORTES SAN GABRIEL LTDA.;;SAN FERNANDO;373984;;;;;;;;;;
77636200-K/TRANSPORTES SAN GABRIEL LTDA.;;TALCA;568676;;;;;;;;;;
77636200-K/TRANSPORTES SAN GABRIEL LTDA.;;CHILLAN;705603;;;;;;;;;;
77636200-K/TRANSPORTES SAN GABRIEL LTDA.;;CONCEPCION;914069;;;;;;;;;;
77636200-K/TRANSPORTES SAN GABRIEL LTDA.;;LOS ANGELES;911666;;;;;;;;;;
77636200-K/TRANSPORTES SAN GABRIEL LTDA.;;TEMUCO;1196549;;;;;;;;;;
77636200-K/TRANSPORTES SAN GABRIEL LTDA.;;VALDIVIA;1370436;;;;;;;;;;
77636200-K/TRANSPORTES SAN GABRIEL LTDA.;;OSORNO;1491909;;;;;;;;;;
77636200-K/TRANSPORTES SAN GABRIEL LTDA.;;PUERTO MONTT;1691182;;;;;;;;;;
77636200-K/TRANSPORTES SAN GABRIEL LTDA.;;Desvio corto;145768;;;;;;;;;;
77636200-K/TRANSPORTES SAN GABRIEL LTDA.;;Desvio Largo;201833;;;;;;;;;;
77636200-K/TRANSPORTES SAN GABRIEL LTDA.;;CH-CEDIS IDE QUILICURA;100917;;;;;;;;;;
77636200-K/TRANSPORTES SAN GABRIEL LTDA.;;PUNTO PARADA;100917;;;;;;;;;;
77636200-K/TRANSPORTES SAN GABRIEL LTDA.;;SANTIAGO;171110;;;;;;;;;;
77636200-K/TRANSPORTES SAN GABRIEL LTDA.;;QUILICURA;103011;;;;;;;;;;
77636200-K/TRANSPORTES SAN GABRIEL LTDA.;;VALDIVIA - PUERTO MONTT;1830054;;;;;;;;;;
77636200-K/TRANSPORTES SAN GABRIEL LTDA.;;OSORNO - PUERTO MONTT;1725605;;;;;;;;;;
77636200-K/TRANSPORTES SAN GABRIEL LTDA.;;SAN FERNANDO - TALCA;638308;;;;;;;;;;
77636200-K/TRANSPORTES SAN GABRIEL LTDA.;;COPIAPO - LA SERENA;1653458;;;;;;;;;;
77636200-K/TRANSPORTES SAN GABRIEL LTDA.;;COPIAPO - LOS VILOS;1653458;;;;;;;;;;
77636200-K/TRANSPORTES SAN GABRIEL LTDA.;;TALCA - CONCEPCION;977506;;;;;;;;;;
77636200-K/TRANSPORTES SAN GABRIEL LTDA.;;COPIAPO - VALLENAR;1653458;;;;;;;;;;
77636200-K/TRANSPORTES SAN GABRIEL LTDA.;;LA SERENA - OVALLE;978659;;;;;;;;;;
77636200-K/TRANSPORTES SAN GABRIEL LTDA.;;LA SERENA - LOS VILOS;978659;;;;;;;;;;
77636200-K/TRANSPORTES SAN GABRIEL LTDA.;;LA SERENA - OVALLE - LOS VILOS;1048291;;;;;;;;;;
77636200-K/TRANSPORTES SAN GABRIEL LTDA.;;CONCEPCION - LOS ANGELES;1207173;;;;;;;;;;
77636200-K/TRANSPORTES SAN GABRIEL LTDA.;;CONCEPCION - TEMUCO;1311622;;;;;;;;;;
77636200-K/TRANSPORTES SAN GABRIEL LTDA.;;ARICA - IQUIQUE;3523506;;;;;;;;;;
77636200-K/TRANSPORTES SAN GABRIEL LTDA.;;ARICA - ANTOFAGASTA;3523506;;;;;;;;;;
77636200-K/TRANSPORTES SAN GABRIEL LTDA.;;IQUIQUE - ANTOFAGASTA;3117221;;;;;;;;;;
77636200-K/TRANSPORTES SAN GABRIEL LTDA.;;ANTOFAGASTA - COPIAPO;2435371;;;;;;;;;;
77636200-K/TRANSPORTES SAN GABRIEL LTDA.;;TEMUCO - LOS ANGELES;1207173;;;;;;;;;;
77636200-K/TRANSPORTES SAN GABRIEL LTDA.;;ANTOFAGASTA - CALAMA - ANTOFAGASTA (INCLUYE ESPERA PICKING);3009889;;;;;;;;;;
77636200-K/TRANSPORTES SAN GABRIEL LTDA.;;ESPERA Y PICKING CEVE ANTOFAGASTA;313963;;;;;;;;;;
77636200-K/TRANSPORTES SAN GABRIEL LTDA.;;DIFERENCIA EN FLETE SANTIAGO-ANTOFAGASTA VS SANTIAGO-CALAMA;406322;;;;;;;;;;
77636200-K/TRANSPORTES SAN GABRIEL LTDA.;;CL_RUTA_1059_ RUTA_CONSUMIDOR FINAL;100917;;;;;;;;;;
